Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How likely is it that you would recommend DeliverShip to a friend or colleague?,"Overall, how satisfied or dissatisfied are you with DeliverShip?",Which of the following words would you use to describe our shipping services? Select all that apply.,,,,,,,,,,How responsive have we been to your questions or concerns about our services?,How long have you been a customer of Delivership?,"Do you have any other comments, questions, or concerns?"
,,,,,,,,,Response,Response,Reliable,High quality,Useful,Unique,Good value for money,Overpriced,Impractical,Ineffective,Poor quality,Unreliable,Response,Response,Open-Ended Response
11163952925,249008837,11/21/2019 11:55:11 AM,11/21/2019 11:55:40 AM,4.15.132.202,,,,,10,Somewhat satisfied,Reliable,,Useful,,,,,,,,Somewhat responsive,1 - 2 years,
11163951326,249008837,11/21/2019 11:46:44 AM,11/21/2019 11:55:11 AM,4.15.132.202,,,,,9,Somewhat satisfied,Reliable,High quality,Useful,,,,,,,,Somewhat responsive,Less than six months,
11163924283,249008837,11/21/2019 11:46:32 AM,11/21/2019 11:46:44 AM,4.15.132.202,,,,,9,Somewhat satisfied,,High quality,Useful,,,,,,,,Very responsive,Less than six months,
11163923600,249008837,11/21/2019 11:45:30 AM,11/21/2019 11:46:32 AM,4.15.132.202,,,,,8,Neither satisfied nor dissatisfied,Reliable,,Useful,,,Overpriced,,,,,Not applicable,Less than six months,
11163920245,249008837,11/21/2019 11:45:11 AM,11/21/2019 11:45:30 AM,4.15.132.202,,,,,9,Somewhat satisfied,,,Useful,,Good value for money,,,,,,Very responsive,Less than six months,
11163919238,249008837,11/21/2019 11:43:32 AM,11/21/2019 11:45:11 AM,4.15.132.202,,,,,10,Very satisfied,Reliable,,Useful,,,,,,,,Very responsive,1 - 2 years,DeliverShip is great!
11163913907,249008837,11/21/2019 11:43:09 AM,11/21/2019 11:43:32 AM,4.15.132.202,,,,,10,Very satisfied,Reliable,,,,Good value for money,,,,,,Somewhat responsive,Less than six months,
11163912633,249008837,11/21/2019 11:42:50 AM,11/21/2019 11:43:09 AM,4.15.132.202,,,,,10,Very satisfied,Reliable,High quality,,,,,,,,,Very responsive,3 or more years,
11163911597,249008837,11/21/2019 11:42:10 AM,11/21/2019 11:42:50 AM,4.15.132.202,,,,,9,Somewhat satisfied,Reliable,,Useful,,,,,,,,Very responsive,1 - 2 years,
11163909368,249008837,11/21/2019 11:40:48 AM,11/21/2019 11:42:10 AM,4.15.132.202,,,,,10,Very satisfied,Reliable,High quality,Useful,,,,,,,,Very responsive,This is my first purchase,
11163905004,249008837,11/21/2019 11:40:33 AM,11/21/2019 11:40:48 AM,4.15.132.202,,,,,10,Somewhat satisfied,Reliable,High quality,Useful,Unique,Good value for money,,,,,,Extremely responsive,Less than six months,
11163904168,249008837,11/21/2019 11:40:08 AM,11/21/2019 11:40:33 AM,4.15.132.202,,,,,10,Somewhat satisfied,,,Useful,,Good value for money,,,,,,Very responsive,3 or more years,
11163902792,249008837,11/21/2019 11:37:16 AM,11/21/2019 11:40:08 AM,4.15.132.202,,,,,10,Somewhat satisfied,,High quality,,,Good value for money,,,,,,Very responsive,Six months to a year,
11163893338,249008837,11/21/2019 11:37:02 AM,11/21/2019 11:37:16 AM,4.15.132.202,,,,,9,Very satisfied,Reliable,High quality,Useful,Unique,Good value for money,,,,,,Very responsive,Six months to a year,
11163892546,249008837,11/21/2019 11:36:35 AM,11/21/2019 11:37:01 AM,4.15.132.202,,,,,10,Somewhat satisfied,Reliable,High quality,,,,Overpriced,,,,,Very responsive,1 - 2 years,
11163891155,249008837,11/21/2019 11:35:54 AM,11/21/2019 11:36:35 AM,4.15.132.202,,,,,9,Very satisfied,,,,Unique,Good value for money,,,,,Unreliable,Very responsive,3 or more years,
11163888953,249008837,11/21/2019 11:02:36 AM,11/21/2019 11:35:54 AM,4.15.132.202,,,,,10,Very satisfied,,High quality,,,Good value for money,,,,,,Very responsive,Six months to a year,
11163775832,249008837,11/21/2019 10:57:37 AM,11/21/2019 11:02:36 AM,4.15.132.202,,,,,8,Very satisfied,,,Useful,,Good value for money,,,,,,Very responsive,Six months to a year,
11163759494,249008837,11/21/2019 10:56:53 AM,11/21/2019 10:57:37 AM,4.15.132.202,,,,,10,Very satisfied,Reliable,,,,Good value for money,,,,,,Extremely responsive,Six months to a year,
11163757370,249008837,11/21/2019 10:55:32 AM,11/21/2019 10:56:53 AM,4.15.132.202,,,,,9,Very satisfied,Reliable,,,Unique,,,Impractical,,,,Extremely responsive,1 - 2 years,
11163753393,249008837,11/21/2019 10:55:16 AM,11/21/2019 10:55:32 AM,4.15.132.202,,,,,10,Very satisfied,Reliable,High quality,,,,,,,,,Extremely responsive,1 - 2 years,
11163752667,249008837,11/21/2019 10:54:05 AM,11/21/2019 10:55:16 AM,4.15.132.202,,,,,9,Very satisfied,,High quality,,Unique,,,,,,,Somewhat responsive,Less than six months,
11163749306,249008837,11/21/2019 10:53:09 AM,11/21/2019 10:54:05 AM,4.15.132.202,,,,,5,Somewhat dissatisfied,,,,,,Overpriced,,,,,Somewhat responsive,I haven't made a purchase yet,"I wasn't happy with your pricing, but your customer service representatives were extremely helpful. Kudos!"
11163746465,249008837,11/21/2019 10:52:54 AM,11/21/2019 10:53:09 AM,4.15.132.202,,,,,9,Somewhat satisfied,,High quality,Useful,,,,,,,,Very responsive,Six months to a year,
11163745746,249008837,11/21/2019 10:52:39 AM,11/21/2019 10:52:54 AM,4.15.132.202,,,,,9,Very satisfied,Reliable,High quality,,,Good value for money,,,,,,Very responsive,3 or more years,
11163745011,249008837,11/21/2019 10:52:21 AM,11/21/2019 10:52:39 AM,4.15.132.202,,,,,10,Very satisfied,,High quality,,,,,,,,,Very responsive,Less than six months,
11163744116,249008837,11/21/2019 10:51:57 AM,11/21/2019 10:52:21 AM,4.15.132.202,,,,,10,Somewhat satisfied,Reliable,,Useful,,Good value for money,,,,,,Very responsive,This is my first purchase,
11163742944,249008837,11/19/2019 04:54:07 PM,11/21/2019 10:51:57 AM,4.15.132.202,,,,,10,Very satisfied,Reliable,High quality,Useful,Unique,Good value for money,,,,,,Not applicable,Six months to a year,
11158139250,249008837,11/19/2019 04:15:48 PM,11/19/2019 04:16:43 PM,4.15.132.202,,,,,8,Somewhat satisfied,Reliable,,Useful,,,,,,,,Very responsive,This is my first purchase,
11157851217,249008837,11/19/2019 02:15:22 PM,11/19/2019 02:15:44 PM,4.15.132.202,,,,,9,Very satisfied,Reliable,High quality,Useful,Unique,Good value for money,,,,,,Very responsive,Less than six months,
11157850188,249008837,11/19/2019 02:13:05 PM,11/19/2019 02:15:22 PM,4.15.132.202,,,,,9,Somewhat satisfied,,,Useful,,,,,,,,Very responsive,Less than six months,
11157843760,249008837,11/19/2019 02:12:45 PM,11/19/2019 02:13:05 PM,4.15.132.202,,,,,10,Very satisfied,,,Useful,Unique,,,,,,,Very responsive,1 - 2 years,
11157842842,249008837,11/19/2019 02:11:54 PM,11/19/2019 02:12:44 PM,4.15.132.202,,,,,0,Somewhat dissatisfied,,,,,,Overpriced,Impractical,,,,Somewhat responsive,Less than six months,
11157840447,249008837,11/19/2019 02:10:16 PM,11/19/2019 02:11:53 PM,4.15.132.202,,,,,8,Very satisfied,Reliable,High quality,Useful,,,Overpriced,,,,,Very responsive,3 or more years,
11157835846,249008837,11/19/2019 02:09:47 PM,11/19/2019 02:10:16 PM,4.15.132.202,,,,,9,Very satisfied,,High quality,,,Good value for money,,,,,,Very responsive,Six months to a year,
11157834510,249008837,11/19/2019 01:43:40 PM,11/19/2019 02:09:46 PM,4.15.132.202,,,,,4,Somewhat dissatisfied,,,,,,,Impractical,,,,Somewhat responsive,Less than six months,Not enough locations
11157755547,249008837,11/19/2019 01:39:43 PM,11/19/2019 01:43:39 PM,4.15.132.202,,,,,8,Somewhat satisfied,Reliable,High quality,,,,Overpriced,,,,,Extremely responsive,This is my first purchase,Your services are slightly more expensive than others but your customer service is excellent!
11157743542,249008837,11/19/2019 01:39:02 PM,11/19/2019 01:39:43 PM,4.15.132.202,,,,,8,Very satisfied,Reliable,High quality,Useful,,Good value for money,,,,,,Not applicable,This is my first purchase,Quick and easy shipping. Wish you had more locations!
11157741441,249008837,11/19/2019 01:38:45 PM,11/19/2019 01:39:02 PM,4.15.132.202,,,,,10,Very satisfied,Reliable,High quality,Useful,Unique,Good value for money,,,,,,Extremely responsive,3 or more years,
11157740555,249008837,11/19/2019 01:36:57 PM,11/19/2019 01:38:44 PM,4.15.132.202,,,,,9,Very satisfied,,High quality,Useful,,,,,,,,Very responsive,1 - 2 years,Great for my small business needs
11157734871,249008837,11/19/2019 01:35:40 PM,11/19/2019 01:36:57 PM,4.15.132.202,,,,,10,Very satisfied,Reliable,High quality,Useful,Unique,,,,,,,Very responsive,3 or more years,
11157730800,249008837,11/19/2019 01:35:03 PM,11/19/2019 01:35:39 PM,4.15.132.202,,,,,7,Neither satisfied nor dissatisfied,,,,,Good value for money,,,,,,Not applicable,Less than six months,
11157728957,249008837,11/19/2019 01:34:44 PM,11/19/2019 01:35:03 PM,4.15.132.202,,,,,8,Somewhat satisfied,,High quality,Useful,,Good value for money,,,,,,Very responsive,1 - 2 years,
11157727966,249008837,11/19/2019 01:33:59 PM,11/19/2019 01:34:43 PM,4.15.132.202,,,,,0,Very dissatisfied,,,,,,,,Ineffective,Poor quality,Unreliable,Not so responsive,This is my first purchase,My package was lost :(
11157725583,249008837,11/19/2019 01:33:12 PM,11/19/2019 01:33:59 PM,4.15.132.202,,,,,7,Somewhat satisfied,,,Useful,,Good value for money,,,,,,Not applicable,This is my first purchase,
11157723184,249008837,11/19/2019 01:23:10 PM,11/19/2019 01:33:11 PM,4.15.132.202,,,,,6,Neither satisfied nor dissatisfied,,,,,Good value for money,,,,,,Somewhat responsive,Six months to a year,
11157691967,249008837,11/19/2019 01:22:12 PM,11/19/2019 01:23:10 PM,4.15.132.202,,,,,10,Very satisfied,Reliable,High quality,,,,,,,,,Extremely responsive,This is my first purchase,The customer support rep was extremely helpful and answered all of my questions quickly.
11157688930,249008837,11/19/2019 01:21:45 PM,11/19/2019 01:22:11 PM,4.15.132.202,,,,,10,Very satisfied,Reliable,High quality,Useful,Unique,Good value for money,,,,,,Extremely responsive,3 or more years,
11157687513,249008837,11/19/2019 01:19:22 PM,11/19/2019 01:21:45 PM,4.15.132.202,,,,,9,Somewhat satisfied,Reliable,High quality,,,Good value for money,,,,,,Not applicable,Less than six months,Your shipping services are top-notch!
11154460814,249008837,11/18/2019 02:52:41 PM,11/18/2019 02:54:25 PM,4.15.132.202,,,,,8,Somewhat satisfied,Reliable,,Useful,,Good value for money,,,,,,Very responsive,Less than six months,I like your logo!
